Keypoints,Class
"[[0.2241621  0.03010628 0.7814476 ]
 [0.19443731 0.05718879 0.86899114]
 [0.19345157 0.05273353 0.87974423]
 [0.2602941  0.12596028 0.8546256 ]
 [0.25529218 0.12627013 0.80938655]
 [0.3991398  0.19108418 0.78020257]
 [0.36528268 0.20091577 0.7393135 ]
 [0.4109337  0.50716376 0.4253551 ]
 [0.39497584 0.49441192 0.9525    ]
 [0.38054755 0.7668301  0.4646941 ]
 [0.3588129  0.7552131  0.50213623]
 [0.72724414 0.45279193 0.8726284 ]
 [0.69760174 0.44733655 0.8469223 ]
 [0.73350596 0.90598005 0.88837755]
 [0.66101056 0.853419   0.51949954]
 [0.3534798  0.82277197 0.46354738]
 [0.35028547 0.8056431  0.34552145]]",Bow
"[[0.24828367 0.98886967 0.7473602 ]
 [0.22262578 0.96223825 0.6769994 ]
 [0.22148308 0.96122605 0.72831   ]
 [0.2654561  0.88318956 0.8048076 ]
 [0.2684474  0.87892693 0.9092769 ]
 [0.37786686 0.7811473  0.55807626]
 [0.41044286 0.77202487 0.6064397 ]
 [0.3384817  0.5056771  0.73908126]
 [0.37356636 0.47187474 0.6500319 ]
 [0.2559384  0.2538713  0.3659189 ]
 [0.27955687 0.2482394  0.4672591 ]
 [0.7020828  0.53030914 0.667757  ]
 [0.7587571  0.52481335 0.79999906]
 [0.59270614 0.13359126 0.32979178]
 [0.692167   0.06739793 0.87961906]
 [0.27035835 0.23399128 0.3928298 ]
 [0.27546892 0.1677942  0.30563   ]]",Bow
"[[0.31896418 0.9802261  0.7444163 ]
 [0.30877373 0.95127994 0.5154005 ]
 [0.3092948  0.95170105 0.5826156 ]
 [0.37661305 0.88447404 0.8085026 ]
 [0.38246986 0.8865872  0.65635645]
 [0.43769467 0.80651087 0.64711356]
 [0.49024332 0.83135974 0.7663822 ]
 [0.3763864  0.57181305 0.8581523 ]
 [0.39937565 0.5647311  0.67820287]
 [0.28054848 0.36524153 0.6885102 ]
 [0.2836675  0.35712743 0.63586116]
 [0.6433386  0.45850375 0.8763863 ]
 [0.6849004  0.4642627  0.72530955]
 [0.5945374  0.11200349 0.7631153 ]
 [0.64689344 0.03295229 0.93472075]
 [0.3400435  0.27249682 0.6100017 ]
 [0.3284313  0.25534284 0.474967  ]]",Bow
"[[0.28599596 0.9729803  0.830088  ]
 [0.28145865 0.94145536 0.72870374]
 [0.2806712  0.94432753 0.76437587]
 [0.35678047 0.88446236 0.8147243 ]
 [0.35959253 0.88773686 0.7083277 ]
 [0.4533101  0.84126574 0.73534685]
 [0.45230108 0.85308176 0.80762786]
 [0.3958742  0.576912   0.71770287]
 [0.40296847 0.5660929  0.616207  ]
 [0.32578325 0.3528167  0.6652813 ]
 [0.3239166  0.33154982 0.58609223]
 [0.6913488  0.48670232 0.62438166]
 [0.72182363 0.47297958 0.8418779 ]
 [0.6946648  0.04935284 0.45114794]
 [0.71573126 0.02529098 0.8841452 ]
 [0.37680888 0.28694007 0.7139481 ]
 [0.3637982  0.2847809  0.34111026]]",Bow
"[[0.50698894 0.98397255 0.77502996]
 [0.48745987 0.9559798  0.8060945 ]
 [0.48855844 0.95660585 0.66606456]
 [0.51981264 0.87818277 0.89866257]
 [0.52523667 0.8781441  0.89127994]
 [0.58493143 0.7978027  0.5771725 ]
 [0.6140795  0.8233196  0.7998519 ]
 [0.43539137 0.6201446  0.524101  ]
 [0.45048696 0.62451404 0.6637857 ]
 [0.26501724 0.4118657  0.31024686]
 [0.2821339  0.43261868 0.41489562]
 [0.77728325 0.43750122 0.7342863 ]
 [0.8145964  0.42041984 0.5137453 ]
 [0.53275865 0.15743446 0.71689117]
 [0.55482346 0.09911703 0.85401237]
 [0.2912508  0.3502164  0.42171094]
 [0.25656512 0.3858862  0.5766196 ]]",Bow
"[[0.46987763 0.01359748 0.82797575]
 [0.4374836  0.02665545 0.84506994]
 [0.4353848  0.02368475 0.8498622 ]
 [0.44619977 0.10343642 0.96369416]
 [0.4445289  0.10000607 0.8987896 ]
 [0.5334334  0.18340273 0.8243762 ]
 [0.5185326  0.20364998 0.82047117]
 [0.42751703 0.41082826 0.6277871 ]
 [0.41975495 0.392627   0.7838211 ]
 [0.29592097 0.59014136 0.6234118 ]
 [0.30789104 0.57854676 0.5667107 ]
 [0.74888325 0.563854   0.667288  ]
 [0.7323879  0.55271167 0.7924976 ]
 [0.5372121  0.951531   0.8760667 ]
 [0.5451265  0.80862486 0.56312263]
 [0.27849862 0.6606839  0.81513864]
 [0.30515683 0.638718   0.41956523]]",Bow
"[[0.364358   0.99771297 0.854917  ]
 [0.334657   0.9844991  0.760837  ]
 [0.3349964  0.9760827  0.8777316 ]
 [0.35884526 0.88358736 0.6113159 ]
 [0.36010894 0.8708247  0.7780589 ]
 [0.47872484 0.7981483  0.45785347]
 [0.4935549  0.78389156 0.7804916 ]
 [0.35638487 0.5045825  0.45553285]
 [0.38319013 0.51545495 0.56368876]
 [0.23789002 0.29553303 0.52902144]
 [0.2521613  0.24330717 0.37797236]
 [0.8303439  0.51180404 0.755524  ]
 [0.8768364  0.5010695  0.8262936 ]
 [0.6364689  0.14719    0.70739806]
 [0.7057704  0.04293898 0.8874193 ]
 [0.2385815  0.253303   0.46812132]
 [0.26334068 0.22371697 0.2368192 ]]",Bow
"[[0.46601754 0.02461606 0.67576414]
 [0.4350604  0.05028795 0.52851427]
 [0.4330734  0.04133031 0.66587925]
 [0.46236515 0.15273513 0.88481444]
 [0.46013954 0.13974655 0.4990851 ]
 [0.52806675 0.23314531 0.8324574 ]
 [0.54843307 0.2358048  0.72598267]
 [0.37829217 0.4829066  0.63181835]
 [0.42884514 0.4694072  0.6065691 ]
 [0.20251855 0.6358082  0.28519127]
 [0.20992863 0.6213413  0.53379655]
 [0.86675125 0.64093643 0.55574954]
 [0.86588746 0.6418758  0.8180735 ]
 [0.6037909  0.9769162  0.87887007]
 [0.61706024 0.97585356 0.73893297]
 [0.22795309 0.73056936 0.3995486 ]
 [0.23460831 0.7391705  0.20112363]]",Bow
"[[0.43727538 0.9826523  0.71446633]
 [0.39727896 0.9568778  0.7108046 ]
 [0.4037793  0.95377326 0.55022454]
 [0.44084394 0.86286014 0.6006337 ]
 [0.4495474  0.8557143  0.7321527 ]
 [0.58023274 0.8180755  0.66354346]
 [0.59751207 0.850097   0.83958393]
 [0.29494435 0.8538161  0.6939126 ]
 [0.28124037 0.9383005  0.89027584]
 [0.14157975 0.7250687  0.69427395]
 [0.13943362 0.7236446  0.69105566]
 [0.77920425 0.4168     0.82877046]
 [0.8174977  0.43262836 0.74329007]
 [0.49425194 0.06486597 0.7997178 ]
 [0.4983929  0.05628658 0.93226194]
 [0.24052435 0.4525898  0.7243126 ]
 [0.24742194 0.449532   0.7113875 ]]",Bow
"[[0.47592103 0.04334937 0.5692042 ]
 [0.45530075 0.071843   0.503799  ]
 [0.4501268  0.06515323 0.57442933]
 [0.51043046 0.15027115 0.73656124]
 [0.5054381  0.14015406 0.17389764]
 [0.5876591  0.22512458 0.618418  ]
 [0.5944506  0.23800929 0.5201638 ]
 [0.4189573  0.43694463 0.45856932]
 [0.4135155  0.43498096 0.55249083]
 [0.2149508  0.5851402  0.30501622]
 [0.21020548 0.5826575  0.5120814 ]
 [0.86617845 0.629364   0.5639429 ]
 [0.8452505  0.6414991  0.44565365]
 [0.55322117 0.89830047 0.22673416]
 [0.5511074  0.9023805  0.23600292]
 [0.18408903 0.645853   0.19533531]
 [0.16611291 0.61972    0.14912327]]",Bow
