k1_x,k1_y,k1_p,k2_x,k2_y,k2_p,k3_x,k3_y,k3_p,k4_x,k4_y,k4_p,k5_x,k5_y,k5_p,k6_x,k6_y,k6_p,k7_x,k7_y,k7_p,k8_x,k8_y,k8_p,k9_x,k9_y,k9_p,k10_x,k10_y,k10_p,k11_x,k11_y,k11_p,k12_x,k12_y,k12_p,k13_x,k13_y,k13_p,k14_x,k14_y,k14_p,k15_x,k15_y,k15_p,k16_x,k16_y,k16_p,k17_x,k17_y,k17_p,Class
0.24836253,0.9888753,0.7491541,0.22271827,0.9622083,0.6809544,0.22153406,0.96125364,0.729572,0.26550165,0.88319033,0.8064807,0.26844004,0.87899536,0.90957415,0.37776655,0.781236,0.5567818,0.41037112,0.77212286,0.6027248,0.33849487,0.50565714,0.73936534,0.37345004,0.47185743,0.64970374,0.256002,0.2536833,0.3642146,0.27936158,0.24811192,0.4651132,0.7020792,0.53063613,0.6641251,0.758646,0.52509147,0.7936743,0.5926832,0.13369298,0.33477628,0.69212615,0.0675089,0.8770885,0.270551,0.23379578,0.3942779,0.2753904,0.16783029,0.30797115,Bow
0.319011,0.9802752,0.74432874,0.30886242,0.9513051,0.5172447,0.30932173,0.9517182,0.58145714,0.37671125,0.88458705,0.81019527,0.38240737,0.88662004,0.65625316,0.43786865,0.8065878,0.6459991,0.49035123,0.8313296,0.7620165,0.3764383,0.5717053,0.8599771,0.39930072,0.5646501,0.67622936,0.28039652,0.36509103,0.6885064,0.2836717,0.35708323,0.6371282,0.6432552,0.45864618,0.8755747,0.68479794,0.46430948,0.7276871,0.5944192,0.11241656,0.76306915,0.64681464,0.03295714,0.93549645,0.3400871,0.2724762,0.60501814,0.32871938,0.25549975,0.47804257,Bow
0.28603837,0.97298527,0.82956684,0.2815449,0.9414328,0.72686946,0.28069678,0.9443133,0.7640358,0.356777,0.8845279,0.81345266,0.35948014,0.88782775,0.70976174,0.4532612,0.8412071,0.73513347,0.45240888,0.8531242,0.80450463,0.39596185,0.57675,0.72045004,0.40291005,0.56605345,0.6142566,0.32576275,0.352752,0.6671495,0.32386717,0.33159098,0.5807504,0.69143313,0.48700434,0.63199633,0.7221583,0.47331682,0.839318,0.69450325,0.04942811,0.44881952,0.71565866,0.02523088,0.8834305,0.3768442,0.28694963,0.7111414,0.3639208,0.28484902,0.33578113,Bow
0.50701696,0.9839767,0.77468294,0.48751214,0.9559394,0.8041977,0.48854032,0.95659983,0.66636723,0.51991785,0.8781388,0.8998816,0.5251824,0.8781438,0.89066696,0.585134,0.79805154,0.5805692,0.61430633,0.8237296,0.7963455,0.43514365,0.6202111,0.52906626,0.45036006,0.6246944,0.6596979,0.2650084,0.41195714,0.30580252,0.28209352,0.4327897,0.4145174,0.7772347,0.4375939,0.73130435,0.8144198,0.42039937,0.51467687,0.5327783,0.15770936,0.7217711,0.55497575,0.09920676,0.85264385,0.29121956,0.35024524,0.42242473,0.25642955,0.38597605,0.5792478,Bow
0.22423609,0.03009014,0.7828501,0.19454445,0.05715787,0.8700398,0.19351137,0.05270533,0.88040286,0.2604646,0.1258795,0.8554119,0.25535515,0.12623975,0.8105692,0.39914352,0.19115575,0.78228253,0.36533538,0.20110393,0.7366768,0.41097173,0.50729674,0.42907876,0.39474863,0.49462247,0.9543664,0.380679,0.7667876,0.4725297,0.3635121,0.74838173,0.37662238,0.72703093,0.45281243,0.87444824,0.6974714,0.44731936,0.84839714,0.73363173,0.9065149,0.88971764,0.660984,0.8535964,0.52415955,0.3536234,0.82309586,0.46432006,0.3501771,0.8057418,0.3459752,Bow
0.46992803,0.01358596,0.8264895,0.43755597,0.02665819,0.8442113,0.4354147,0.02368219,0.8489451,0.4462264,0.10345326,0.9638961,0.444482,0.10004112,0.8978932,0.53354347,0.18344751,0.824473,0.51857287,0.20377782,0.8205331,0.427462,0.41093132,0.62864256,0.41972274,0.39276704,0.7841849,0.29847765,0.5820619,0.6131135,0.3077616,0.5786859,0.56048423,0.7488718,0.56378764,0.6710351,0.7323993,0.55262667,0.79359984,0.5373536,0.9515302,0.87741226,0.546227,0.81322813,0.6510268,0.27856764,0.6608083,0.8183954,0.3050672,0.63899463,0.41942042,Bow
0.36442184,0.99774706,0.85470706,0.33467916,0.9844407,0.76324296,0.33500907,0.9761227,0.8780979,0.3588481,0.8834773,0.6130568,0.36011454,0.8708586,0.7790743,0.4789043,0.7981259,0.4537581,0.49367407,0.7839967,0.7846224,0.3563726,0.50447637,0.45762575,0.3831728,0.5154735,0.5615549,0.23786998,0.29569155,0.52907854,0.2521529,0.24338494,0.3767444,0.8303828,0.5120641,0.75334775,0.8769119,0.50122106,0.8250052,0.6364465,0.1473305,0.7090032,0.7058251,0.04314019,0.88797307,0.23864096,0.2535084,0.4711831,0.26349238,0.22368407,0.23613276,Bow
0.4662016,0.02445489,0.68007815,0.43516845,0.05019843,0.5344695,0.43311763,0.04148713,0.670934,0.4623987,0.15276176,0.8857457,0.46002406,0.14003967,0.51590276,0.5281557,0.2330811,0.83277386,0.54829836,0.23593856,0.7265624,0.3782688,0.48277044,0.6340206,0.42888287,0.46947664,0.60707664,0.20249951,0.63608,0.29031375,0.20982474,0.6214763,0.53227127,0.8667812,0.64117634,0.55630726,0.8658348,0.6419702,0.8184459,0.6039415,0.9771558,0.87961465,0.61681324,0.9761902,0.7367559,0.22786728,0.73055035,0.40485534,0.2342599,0.739255,0.20219944,Bow
0.43727463,0.98254836,0.7154153,0.39727414,0.9568627,0.7108132,0.40376183,0.95375985,0.5485371,0.44084573,0.8629516,0.6046548,0.44945005,0.85582995,0.7328619,0.580376,0.81823206,0.661562,0.5976548,0.85007167,0.83642364,0.29494438,0.8538956,0.6930729,0.28121224,0.93835527,0.8891164,0.14163178,0.72508377,0.69404525,0.13949925,0.72374284,0.6909865,0.7791204,0.41693512,0.8276709,0.8174288,0.43278843,0.7433471,0.49427903,0.06493602,0.7995761,0.49843886,0.05636699,0.9312871,0.24050532,0.45266438,0.7241284,0.2474261,0.4497184,0.71054006,Bow
0.47589013,0.0433913,0.5695382,0.45533815,0.07185318,0.5067974,0.45009163,0.06527203,0.5795761,0.51055324,0.15017536,0.74110264,0.50541145,0.14033815,0.17972909,0.587962,0.22379531,0.64245814,0.59458685,0.23751065,0.52666044,0.41881514,0.43739393,0.45770246,0.4133491,0.435359,0.5633196,0.21539733,0.5852416,0.3072439,0.21032268,0.5827114,0.5159383,0.8568004,0.6364526,0.5666207,0.84606016,0.6407507,0.5028377,0.55382603,0.8990291,0.2435326,0.55177253,0.9027714,0.24908777,0.18415217,0.64595604,0.19914149,0.16606121,0.6198469,0.15208323,Bow
0.44290283,0.34674743,0.23775229,0.4285283,0.36246753,0.3729424,0.43179017,0.36438036,0.46687356,0.53920436,0.3679156,0.4417116,0.5436002,0.3747125,0.47049195,0.63306653,0.3126346,0.57659554,0.6001695,0.3346455,0.365169,0.3338183,0.33959505,0.7726071,0.32991934,0.34233928,0.55233145,0.09948053,0.4565661,0.5109399,0.10046189,0.4496342,0.3975264,0.920428,0.53349954,0.76522756,0.8509682,0.5209274,0.467819,0.53549075,0.7427655,0.45779002,0.52629846,0.6825278,0.6210344,0.18714485,0.61217916,0.28704008,0.19502053,0.6197105,0.7560206,Bow
0.2969557,1.0102012,0.28069586,0.2594369,1.0032997,0.61576974,0.26356703,0.9935667,0.652217,0.28611058,0.9042918,0.80604655,0.28934297,0.89909583,0.75063914,0.36754626,0.7661903,0.5571367,0.42109078,0.7997991,0.7791479,0.3242023,0.52798146,0.85810596,0.3582795,0.51571983,0.5433277,0.23064758,0.32910395,0.6536932,0.2940285,0.28672072,0.53394264,0.71006954,0.4687987,0.77142227,0.7784983,0.45401144,0.75047195,0.63364214,0.05758531,0.6439984,0.7113283,0.02124279,0.7366325,0.32098702,0.22368012,0.60310465,0.33135194,0.20009977,0.44635954,Bow
0.38557616,0.99431235,0.75599295,0.35812542,0.98369956,0.58870524,0.35799173,0.97871387,0.7841649,0.36493945,0.8870611,0.7108124,0.3665602,0.88170683,0.9217036,0.46460336,0.7845902,0.58681655,0.4752709,0.7898462,0.76336205,0.402736,0.51384056,0.6272362,0.4128582,0.51454717,0.7335033,0.30760345,0.3147016,0.53389287,0.31330007,0.2699671,0.5312218,0.71997863,0.45148265,0.8628746,0.7645359,0.42883152,0.5216511,0.6036198,0.18027458,0.5652941,0.6778344,0.04460284,0.9502582,0.30835837,0.2887683,0.3630642,0.29554307,0.23289251,0.5169779,Bow
0.39652795,0.9701711,0.7248156,0.3835175,0.93613875,0.6964311,0.38252234,0.9400678,0.70340765,0.4370157,0.866562,0.8300729,0.44191608,0.8697061,0.8795244,0.52515507,0.7896656,0.82360417,0.53341967,0.8030285,0.85798377,0.401227,0.54551435,0.61134046,0.40510106,0.53551036,0.75896883,0.27315423,0.36066142,0.64524895,0.27783367,0.3507095,0.633628,0.7656564,0.42256048,0.86303437,0.77922577,0.41448027,0.7207651,0.591235,0.07440802,0.52070206,0.612727,0.02869495,0.7422439,0.30729595,0.27882197,0.60339975,0.30041647,0.27478775,0.56265354,Bow
0.34771827,0.01067825,0.7565812,0.30538377,0.04577765,0.7995879,0.30358148,0.02266095,0.75223124,0.3452944,0.1569383,0.76460785,0.33179435,0.13358518,0.4679878,0.4968157,0.20289752,0.72723633,0.42708868,0.23908083,0.5660684,0.3821792,0.46716022,0.7685591,0.3619079,0.47314128,0.46463528,0.23911226,0.7246477,0.55009264,0.23216541,0.70176446,0.3190906,0.5519998,0.6563564,0.22293705,0.54160744,0.66884947,0.12796772,0.31995758,0.7656679,0.09482643,0.33265364,0.7648397,0.07113667,0.26647457,0.78821653,0.23307823,0.23024037,0.72535217,0.20287032,Bow
