Keypoints,Class
"[[0.55035526 0.11467391 0.60683537]
 [0.56862074 0.0998624  0.72696245]
 [0.57223046 0.10420129 0.7459112 ]
 [0.6119926  0.11881385 0.72620785]
 [0.61429    0.12627253 0.81915295]
 [0.5709746  0.19193748 0.5439329 ]
 [0.60453916 0.19869234 0.5621532 ]
 [0.586572   0.3688058  0.518325  ]
 [0.6135806  0.36473435 0.7007103 ]
 [0.60894454 0.48533326 0.40663502]
 [0.6436232  0.4921987  0.64372593]
 [0.41486275 0.43695548 0.53938866]
 [0.44625404 0.4459379  0.65002286]
 [0.42748538 0.61657953 0.43623465]
 [0.44388875 0.64806104 0.4366182 ]
 [0.4405559  0.8425924  0.33553776]
 [0.45706126 0.85461736 0.77368295]]"
"[[0.49994156 0.8493928  0.7087343 ]
 [0.5204489  0.8809842  0.80387676]
 [0.51504296 0.8797403  0.6310796 ]
 [0.59835035 0.8804957  0.8180059 ]
 [0.5885025  0.8766089  0.70011723]
 [0.6250007  0.76320326 0.76842934]
 [0.5847656  0.73618513 0.7625757 ]
 [0.65998775 0.53601635 0.9111806 ]
 [0.5978313  0.5181911  0.70174706]
 [0.6840505  0.342593   0.88486904]
 [0.594471   0.35681188 0.7699164 ]
 [0.41703472 0.41663122 0.68887794]
 [0.40027165 0.42252144 0.75805694]
 [0.33027345 0.0888069  0.844602  ]
 [0.31412324 0.12303258 0.5900358 ]
 [0.64003843 0.13468206 0.8265494 ]
 [0.5941103  0.15018868 0.59133685]]"
"[[0.37908635 0.03348016 0.6703634 ]
 [0.3894653  0.041997   0.80667883]
 [0.39202332 0.03707134 0.73950094]
 [0.39643362 0.09974657 0.8194615 ]
 [0.40156323 0.09216448 0.7236892 ]
 [0.33806893 0.21075648 0.5977321 ]
 [0.33451694 0.18859638 0.7016054 ]
 [0.52121085 0.2565297  0.759236  ]
 [0.530933   0.21537206 0.778344  ]
 [0.69281065 0.25692362 0.28496805]
 [0.7073853  0.21737328 0.7391157 ]
 [0.3281183  0.5543056  0.8761238 ]
 [0.3264895  0.5479837  0.9110506 ]
 [0.38725168 0.9059083  0.8136448 ]
 [0.38632613 0.919064   0.8842185 ]
 [0.67705333 0.85813713 0.6968681 ]
 [0.69428796 0.8628584  0.68384445]]"
"[[0.55896586 0.82865894 0.5530586 ]
 [0.5791015  0.8593593  0.6663905 ]
 [0.5745603  0.8574014  0.5338645 ]
 [0.65904623 0.86145276 0.74780595]
 [0.6522961  0.8629861  0.6527561 ]
 [0.67762184 0.72148865 0.8891571 ]
 [0.6477311  0.7203987  0.7225431 ]
 [0.69004226 0.47809705 0.88458616]
 [0.6513546  0.47183046 0.78929085]
 [0.68442434 0.29903084 0.89298904]
 [0.6563493  0.30930227 0.56022865]
 [0.38645583 0.5444344  0.823392  ]
 [0.37902635 0.53795195 0.78978753]
 [0.33344343 0.16629104 0.9025854 ]
 [0.33302963 0.17462511 0.79639584]
 [0.6694098  0.18857034 0.4244394 ]
 [0.6256212  0.18262793 0.6575513 ]]"
"[[0.5171103  0.8872744  0.670104  ]
 [0.54051834 0.91247565 0.78488266]
 [0.53603464 0.9118887  0.78264356]
 [0.6127189  0.9050381  0.6978314 ]
 [0.60559815 0.9047722  0.62225205]
 [0.6322994  0.7858358  0.8820262 ]
 [0.5891617  0.7693701  0.76327085]
 [0.6652062  0.5565261  0.9298161 ]
 [0.6214305  0.56621146 0.54109085]
 [0.6533844  0.37970403 0.7259886 ]
 [0.60601574 0.40797356 0.52792263]
 [0.47573993 0.43824548 0.59979534]
 [0.45331424 0.45061162 0.8372335 ]
 [0.316172   0.1387484  0.8347491 ]
 [0.31064692 0.1919578  0.66265935]
 [0.6139338  0.15896343 0.83328956]
 [0.5906295  0.19073895 0.61418104]]"
"[[0.51583046 0.16581416 0.76502347]
 [0.53271735 0.13739939 0.63677895]
 [0.53638    0.13505647 0.8194181 ]
 [0.60204285 0.1390247  0.60316026]
 [0.6163001  0.13862827 0.71433616]
 [0.60991335 0.2920807  0.8714739 ]
 [0.6313837  0.28485805 0.79889274]
 [0.6291237  0.5187016  0.61053836]
 [0.6467559  0.51548564 0.72176427]
 [0.63011795 0.6973672  0.35742214]
 [0.6577139  0.7164602  0.5414302 ]
 [0.37916544 0.565397   0.6490433 ]
 [0.39496648 0.5786585  0.8372699 ]
 [0.31282234 0.93279433 0.5931932 ]
 [0.32478708 0.9502644  0.8828001 ]
 [0.62496865 0.88729656 0.7905606 ]
 [0.6365326  0.8830505  0.755316  ]]"
"[[0.5655655  0.8555405  0.5688083 ]
 [0.58248216 0.8886828  0.6870559 ]
 [0.5764662  0.88720894 0.68852675]
 [0.6575479  0.8953964  0.80117136]
 [0.65066284 0.89152133 0.7055098 ]
 [0.67465365 0.757063   0.87339187]
 [0.65569204 0.76139337 0.5893363 ]
 [0.681003   0.5160904  0.68825537]
 [0.6660934  0.5159421  0.7424528 ]
 [0.6838779  0.3370082  0.5031255 ]
 [0.6761265  0.34807405 0.59355557]
 [0.38121542 0.4977383  0.7033298 ]
 [0.3811794  0.5119915  0.786095  ]
 [0.32750675 0.19561386 0.8778901 ]
 [0.33189234 0.20048937 0.8288015 ]
 [0.6575878  0.15272652 0.8086909 ]
 [0.6512971  0.15364131 0.517341  ]]"
"[[0.51231426 0.3481246  0.6042657 ]
 [0.5234411  0.33419093 0.67933476]
 [0.5294583  0.33440214 0.5316133 ]
 [0.570544   0.34488595 0.6478504 ]
 [0.5766497  0.33838332 0.4436945 ]
 [0.5670548  0.3993257  0.8116192 ]
 [0.5964225  0.40706214 0.6907989 ]
 [0.5584679  0.27331027 0.6158105 ]
 [0.5879982  0.24828677 0.2784278 ]
 [0.5799275  0.14675426 0.3804154 ]
 [0.62424105 0.11705235 0.45728433]
 [0.47890037 0.67176014 0.6865089 ]
 [0.49647635 0.68379533 0.6735579 ]
 [0.35623404 0.8647538  0.68888676]
 [0.35508084 0.89616084 0.8519358 ]
 [0.57360244 0.8785015  0.815426  ]
 [0.5983008  0.9010261  0.8309149 ]]"
"[[0.5431147  0.8337301  0.6033692 ]
 [0.56073725 0.86070013 0.6697757 ]
 [0.55704284 0.861084   0.8073556 ]
 [0.6375626  0.863924   0.85443753]
 [0.63326555 0.86499983 0.8468277 ]
 [0.6601826  0.7140739  0.73828065]
 [0.64528054 0.7277438  0.6060318 ]
 [0.6640507  0.47789013 0.688779  ]
 [0.65195    0.47706187 0.5737215 ]
 [0.63481873 0.29347965 0.7016208 ]
 [0.6304635  0.30066785 0.5780244 ]
 [0.37276447 0.54590225 0.7417497 ]
 [0.367905   0.5549314  0.6234651 ]
 [0.3014016  0.17654768 0.83295554]
 [0.29726484 0.18754683 0.8468654 ]
 [0.6288737  0.17888063 0.59161437]
 [0.6193069  0.17276742 0.6071681 ]]"
"[[0.5195011  0.14381588 0.718575  ]
 [0.5370906  0.11883003 0.7827935 ]
 [0.5412153  0.11587223 0.8435804 ]
 [0.60801774 0.12242576 0.544755  ]
 [0.6191774  0.12264798 0.728968  ]
 [0.6156996  0.26405707 0.877887  ]
 [0.651861   0.2553094  0.85748446]
 [0.62867796 0.4706143  0.7539801 ]
 [0.64961326 0.47005337 0.6360823 ]
 [0.6355977  0.6227019  0.46015763]
 [0.654947   0.6288042  0.6975222 ]
 [0.38007134 0.5250637  0.8365114 ]
 [0.39848158 0.5386436  0.86658984]
 [0.3115734  0.8422684  0.7098971 ]
 [0.3155111  0.86890644 0.8086844 ]
 [0.61329055 0.8208068  0.7136726 ]
 [0.63565016 0.85785323 0.91370577]]"
"[[0.51825553 0.8738096  0.734589  ]
 [0.5363185  0.9054246  0.7741554 ]
 [0.53334206 0.9018553  0.6322371 ]
 [0.60941774 0.90100926 0.75821567]
 [0.60187083 0.8967614  0.7417363 ]
 [0.64618826 0.80032116 0.69682086]
 [0.6006474  0.77092606 0.7685406 ]
 [0.6744866  0.5599645  0.6520528 ]
 [0.6158342  0.5465471  0.81044704]
 [0.70580184 0.37854594 0.87351847]
 [0.60911524 0.37329733 0.8514286 ]
 [0.46452212 0.48624265 0.7456982 ]
 [0.44227806 0.4880413  0.9006678 ]
 [0.31613898 0.16493201 0.86626434]
 [0.29559976 0.16103716 0.87892365]
 [0.6515841  0.15810846 0.8353466 ]
 [0.59727514 0.14203389 0.85477555]]"
"[[0.5394364  0.16408063 0.79128057]
 [0.5478759  0.13546221 0.5433974 ]
 [0.5595592  0.13144156 0.83315045]
 [0.61012024 0.12907907 0.7303625 ]
 [0.6359911  0.12871535 0.8599351 ]
 [0.5970472  0.2643971  0.70148826]
 [0.65700024 0.24370271 0.79064965]
 [0.6165523  0.50660974 0.7203771 ]
 [0.65942705 0.5017356  0.92014474]
 [0.6336951  0.68501174 0.6440384 ]
 [0.6661425  0.6967786  0.73193383]
 [0.39905673 0.50127566 0.76839966]
 [0.43031597 0.51474285 0.71218586]
 [0.30629954 0.8248902  0.77477384]
 [0.30393162 0.84785485 0.94442534]
 [0.61786276 0.8191951  0.777892  ]
 [0.6406639  0.8338173  0.8635711 ]]"
"[[0.51546884 0.91758907 0.6425454 ]
 [0.5329433  0.95188046 0.69308156]
 [0.52936584 0.9499522  0.7636268 ]
