Keypoints,Class
"[[0.44916674 0.8824473  0.80364645]
 [0.46772352 0.9116216  0.6027738 ]
 [0.42779905 0.9036042  0.9016942 ]
 [0.4923412  0.903952   0.8589253 ]
 [0.40379933 0.88902056 0.7760881 ]
 [0.54234624 0.82383555 0.9379567 ]
 [0.37045154 0.79193485 0.91947883]
 [0.686498   0.8013729  0.8825634 ]
 [0.23332469 0.7602351  0.9592463 ]
 [0.8147817  0.81480664 0.8260891 ]
 [0.10360873 0.7606092  0.8485779 ]
 [0.5258115  0.5635986  0.8827002 ]
 [0.4158192  0.53708065 0.7865502 ]
 [0.72825193 0.5300985  0.8252114 ]
 [0.3945464  0.3179199  0.88076997]
 [0.93950164 0.53336626 0.93677926]
 [0.37152797 0.10663021 0.90223   ]]"
"[[0.40417215 0.09092414 0.8521867 ]
 [0.391366   0.0795878  0.7986499 ]
 [0.42603615 0.06483766 0.9118482 ]
 [0.39605218 0.10051925 0.80396825]
 [0.47018132 0.08866714 0.75523674]
 [0.35858467 0.20193127 0.78989494]
 [0.54521346 0.1980385  0.96873593]
 [0.20960845 0.22606252 0.9333455 ]
 [0.6921439  0.21552192 0.9392795 ]
 [0.07767364 0.2227147  0.95595455]
 [0.81761473 0.22579548 0.94603455]
 [0.46483094 0.49602672 0.9153763 ]
 [0.5243093  0.4815039  0.5939392 ]
 [0.710248   0.47818223 0.8438092 ]
 [0.50741714 0.7143985  0.91705805]
 [0.9264111  0.49104235 0.95136607]
 [0.46366096 0.9302247  0.93938   ]]"
"[[0.54431987 0.91442335 0.58490527]
 [0.5720336  0.93651724 0.70673275]
 [0.52977616 0.942389   0.7496208 ]
 [0.60911983 0.9119218  0.8719847 ]
 [0.52388585 0.9308068  0.89459985]
 [0.63947994 0.8206785  0.8529905 ]
 [0.454141   0.8470158  0.8039621 ]
 [0.7912762  0.83062077 0.95406306]
 [0.29831633 0.8361621  0.86313653]
 [0.9417859  0.84504277 0.91437775]
 [0.13708727 0.85240906 0.9063875 ]
 [0.49347574 0.56136656 0.6366999 ]
 [0.37957567 0.60206676 0.7829145 ]
 [0.683791   0.5084945  0.93501204]
 [0.25804    0.3668545  0.8616837 ]
 [0.9373483  0.50108254 0.8960635 ]
 [0.11465615 0.15408519 0.8704658 ]]"
"[[0.39289287 0.07474656 0.7793965 ]
 [0.40155384 0.05932371 0.61370116]
 [0.41541713 0.05431922 0.84601575]
 [0.44089687 0.07125595 0.7301897 ]
 [0.4731026  0.07176036 0.6475922 ]
 [0.35534048 0.1667326  0.9002839 ]
 [0.53801394 0.16278955 0.8197453 ]
 [0.21338041 0.16629457 0.8784723 ]
 [0.6854111  0.21150415 0.92969227]
 [0.09340326 0.12681724 0.6854651 ]
 [0.82269937 0.20730565 0.7966474 ]
 [0.38653702 0.45137516 0.7013229 ]
 [0.49267745 0.43331715 0.910027  ]
 [0.37136593 0.6762045  0.83184373]
 [0.69956654 0.42369938 0.9239368 ]
 [0.3141283  0.8941938  0.6810535 ]
 [0.93446106 0.4346131  0.8785214 ]]"
"[[0.52659976 0.13130079 0.78794247]
 [0.51037365 0.10867857 0.80711174]
 [0.551644   0.11099613 0.76425564]
 [0.48077697 0.11207193 0.7115526 ]
 [0.5733203  0.12034221 0.757742  ]
 [0.4182834  0.18740506 0.9285395 ]
 [0.6168946  0.21167825 0.8378416 ]
 [0.2698975  0.18979572 0.91490215]
 [0.7626587  0.18986692 0.936323  ]
 [0.12867394 0.16380455 0.9319126 ]
 [0.91346127 0.1479773  0.8795315 ]
 [0.38240093 0.4614169  0.87390333]
 [0.5077567  0.45620245 0.7169982 ]
 [0.2961535  0.66784567 0.9115872 ]
 [0.70860094 0.4750019  0.9339164 ]
 [0.2294554  0.83928615 0.9115383 ]
 [0.9258696  0.48593897 0.9374628 ]]"
"[[0.54721045 0.06954508 0.749844  ]
 [0.52995145 0.05045838 0.7563886 ]
 [0.5653993  0.0635077  0.68252784]
 [0.4898433  0.06739055 0.7469492 ]
 [0.5810456  0.09387051 0.7590972 ]
 [0.4049381  0.10783198 0.7437763 ]
 [0.5932874  0.18137869 0.7385645 ]
 [0.24530399 0.11288496 0.8027652 ]
 [0.7227841  0.18012123 0.74985117]
 [0.11565913 0.08202715 0.8212244 ]
 [0.8533829  0.15235278 0.73474205]
 [0.32254067 0.40451884 0.8981084 ]
 [0.45082    0.41253704 0.88482136]
 [0.27891564 0.6909925  0.8102237 ]
 [0.64784473 0.4420827  0.8777619 ]
 [0.2247857  0.9119745  0.6102426 ]
 [0.87951326 0.4371191  0.83616865]]"
"[[0.48203424 0.9258753  0.8444573 ]
 [0.50921196 0.9441994  0.87787956]
 [0.47738332 0.9499748  0.82439107]
 [0.556972   0.90483415 0.7924192 ]
 [0.4828965  0.93551105 0.6198007 ]
 [0.5999597  0.7942533  0.88236755]
 [0.38975537 0.85036516 0.9295331 ]
 [0.7346474  0.7740623  0.839254  ]
 [0.21936834 0.8400403  0.9056979 ]
 [0.87706333 0.7829985  0.8892152 ]
 [0.08103413 0.8783877  0.90953755]
 [0.45449775 0.5456018  0.77689224]
 [0.32554126 0.5525266  0.89960194]
 [0.6761478  0.52237046 0.84872985]
 [0.2359826  0.3119485  0.90696526]
 [0.9130881  0.5251064  0.87712103]
 [0.12514569 0.09827069 0.87720364]]"
"[[0.4108506  0.9069145  0.64899504]
 [0.44466284 0.9216801  0.553874  ]
 [0.40239775 0.9301039  0.657248  ]
 [0.47914845 0.8995095  0.59010804]
 [0.3940679  0.92993945 0.8234463 ]
 [0.53574705 0.82348424 0.87802887]
 [0.32652527 0.85382336 0.7723685 ]
 [0.6777544  0.8219367  0.74230075]
 [0.18321998 0.8439355  0.8124701 ]
 [0.8115104  0.83210695 0.8446892 ]
 [0.09181031 0.85127425 0.36795604]
 [0.44182312 0.58237046 0.6180433 ]
 [0.32972693 0.5817654  0.85422933]
 [0.63038754 0.5556772  0.5673939 ]
 [0.26101464 0.32470044 0.8614831 ]
 [0.8457146  0.5379966  0.91464156]
 [0.20541261 0.10847476 0.9098928 ]]"
"[[0.48879215 0.30414185 0.58204055]
 [0.4993986  0.2986264  0.44883054]
 [0.50669354 0.30108824 0.73189205]
 [0.51839095 0.3068295  0.7046946 ]
 [0.53113455 0.3157558  0.7453966 ]
 [0.4590683  0.35109022 0.77903515]
 [0.55887973 0.38402262 0.41311935]
 [0.35443863 0.36436442 0.59151244]
 [0.6415199  0.4015202  0.8289785 ]
 [0.27459052 0.3625092  0.73536116]
 [0.7270307  0.3965528  0.90570915]
 [0.41231737 0.53288597 0.8047514 ]
 [0.4610054  0.5216439  0.65900534]
 [0.40848133 0.6821174  0.81501377]
 [0.61324304 0.5363391  0.84800243]
 [0.40062147 0.8068684  0.8592547 ]
 [0.7357672  0.52808154 0.79354227]]"
"[[0.5219436  0.07196178 0.8015927 ]
 [0.49560827 0.05903804 0.73910934]
 [0.52950466 0.04775051 0.7017462 ]
 [0.44443533 0.08331595 0.63401216]
 [0.528528   0.05658072 0.75232995]
 [0.38133502 0.15694845 0.9346565 ]
 [0.5906993  0.17341524 0.95529014]
 [0.22212774 0.1788813  0.76180613]
 [0.73359483 0.19004726 0.960479  ]
 [0.08138246 0.163155   0.97362804]
 [0.8819337  0.17801745 0.8899127 ]
 [0.38940313 0.4604331  0.86014813]
 [0.50651276 0.44872895 0.9115246 ]
 [0.36235425 0.69209117 0.90535665]
 [0.7104287  0.48420706 0.88376546]
 [0.359101   0.89588183 0.90083295]
 [0.9328485  0.47003555 0.9073479 ]]"
"[[0.5240355  0.9716547  0.830138  ]
 [0.50504494 0.98462814 0.75169224]
 [0.5021351  0.98388445 0.653752  ]
 [0.46105543 0.96262836 0.785648  ]
 [0.44799325 0.9587738  0.9215333 ]
 [0.55396175 0.8466189  0.84111834]
 [0.37374797 0.85836434 0.9351335 ]
 [0.692673   0.82662636 0.87570846]
 [0.24204335 0.8169197  0.83148646]
 [0.8249253  0.84421664 0.9446859 ]
 [0.09895467 0.83116585 0.9088376 ]
 [0.48982844 0.588903   0.80298376]
 [0.3929176  0.58529353 0.9077252 ]
 [0.7027929  0.59676695 0.78765845]
 [0.33001712 0.34482053 0.904505  ]
 [0.92117465 0.61064756 0.90586567]
 [0.27306104 0.13889909 0.95063543]]"
"[[0.5325633  0.09861287 0.4610857 ]
 [0.51686084 0.08449112 0.47989562]
 [0.5455361  0.08873326 0.49555176]
 [0.47734004 0.08839869 0.66995513]
 [0.53938013 0.09675087 0.4800936 ]
 [0.38979375 0.13436423 0.6671018 ]
 [0.5996712  0.18238685 0.45045266]
 [0.247068   0.34887767 0.19508262]
 [0.7051036  0.22951598 0.72337973]
 [0.29156104 0.33711702 0.16850851]
 [0.84827554 0.22931911 0.80776   ]
 [0.39578798 0.41692948 0.37972337]
 [0.5060135  0.38663793 0.12492419]
 [0.5389246  0.38303214 0.05625413]
 [0.62722844 0.44299474 0.22698693]
 [0.8362504  0.4436705  0.4989629 ]
 [0.83605576 0.4427262  0.52508724]]"
"[[0.4321027  0.07955193 0.62826586]
 [0.43286878 0.06482417 0.82916677]
 [0.4581848  0.06061437 0.7730424 ]
 [0.45455787 0.08018472 0.62142575]
 [0.5139924  0.08360869 0.60393256]
 [0.38758883 0.17721035 0.7798089 ]
 [0.55620074 0.17450747 0.89303315]
 [0.25785837 0.1738381  0.9532657 ]
 [0.6919626  0.18950008 0.95507514]
 [0.11864302 0.159411   0.94974756]
 [0.7943977  0.20496368 0.8842425 ]
 [0.41268364 0.43361178 0.74513626]
 [0.5274599  0.42143485 0.72190446]
 [0.422302   0.66269773 0.95225596]
 [0.69849145 0.44182885 0.60601103]
 [0.40227106 0.8777475  0.91495806]
 [0.89426154 0.47064584 0.9302158 ]]"
"[[0.42830408 0.94132406 0.7688293 ]
 [0.44217396 0.96611017 0.8138122 ]
 [0.4059294  0.95097256 0.82375336]
 [0.47016293 0.9508105  0.74497044]
 [0.38612646 0.9176002  0.81164026]
 [0.536401   0.8387663  0.93261284]
 [0.36753467 0.8437234  0.85727173]
 [0.6787106  0.8187763  0.8705716 ]
 [0.2265432  0.82008576 0.8458705 ]
 [0.7935987  0.80696213 0.9408389 ]
 [0.10905769 0.82826436 0.8472235 ]
 [0.43998218 0.57529265 0.7354299 ]
 [0.40255535 0.5734884  0.8581997 ]
 [0.4261185  0.30231208 0.8836936 ]
 [0.64678824 0.56172025 0.68941236]
 [0.4033095  0.09735294 0.9721702 ]
 [0.8620291  0.5605803  0.9487428 ]]"
"[[0.36862227 0.94568247 0.85689294]
 [0.38830736 0.97544557 0.6935932 ]
 [0.3588815  0.9634317  0.79985046]
 [0.4368426  0.97051907 0.83708274]
 [0.37457377 0.95779496 0.7357736 ]
 [0.5294646  0.8701421  0.7849196 ]
 [0.33512202 0.85520566 0.9411712 ]
 [0.67947644 0.8747593  0.9570584 ]
 [0.19980441 0.82502705 0.9666296 ]
 [0.8201887  0.9151311  0.94765735]
 [0.06980074 0.8269137  0.91661644]
 [0.49617812 0.58834547 0.87155026]
 [0.37476522 0.5764167  0.8892317 ]
 [0.687201   0.5702179  0.7731597 ]
 [0.37475717 0.33428732 0.6821363 ]
 [0.92341053 0.5716994  0.8765864 ]
 [0.35507977 0.1114205  0.6670792 ]]"
"[[0.5611436  0.10814172 0.6154    ]
 [0.5367917  0.08916515 0.84876126]
 [0.54516673 0.08868166 0.6304877 ]
 [0.4690187  0.1044031  0.71458006]
 [0.48773074 0.10831925 0.80916154]
 [0.36199212 0.21007024 0.68496037]
 [0.56942743 0.22480159 0.8705189 ]
 [0.22326995 0.26324022 0.9407245 ]
 [0.73307085 0.26216942 0.79266703]
 [0.09882096 0.2665029  0.94292283]
 [0.9004022  0.28113642 0.8092785 ]
 [0.3969786  0.5358423  0.96278775]
 [0.46277934 0.51384205 0.6686487 ]
 [0.664167   0.51620924 0.71286935]
 [0.43604302 0.7534427  0.88655293]
 [0.91189384 0.5033609  0.92022055]
 [0.39866006 0.93173635 0.9627019 ]]"
"[[0.46590057 0.08845887 0.47062942]
 [0.47991675 0.06243356 0.63922536]
 [0.44920865 0.0764825  0.8284391 ]
 [0.5040173  0.07534149 0.6249891 ]
 [0.43939152 0.09556814 0.61801624]
 [0.5789856  0.18016393 0.8317784 ]
