Keypoints,Class
"[[0.09244919 0.71844786 0.70438284]
 [0.0741826  0.7169023  0.84586966]
 [0.07101946 0.69742626 0.89116216]
 [0.08214392 0.68415475 0.69275737]
 [0.0780151  0.6385409  0.7156167 ]
 [0.1875028  0.745602   0.6349743 ]
 [0.17665432 0.5546516  0.7776709 ]
 [0.31913236 0.83299077 0.8522569 ]
 [0.18836327 0.3806417  0.87887156]
 [0.39734808 0.784188   0.90097916]
 [0.164815   0.24117652 0.81095123]
 [0.45921022 0.70602286 0.9483035 ]
 [0.4269487  0.6085339  0.8768452 ]
 [0.7102921  0.6746771  0.89714795]
 [0.3569765  0.38483438 0.85072   ]
 [0.9423119  0.631844   0.9238488 ]
 [0.25480103 0.16035022 0.8401086 ]]"
"[[0.11758973 0.55796283 0.899597  ]
 [0.09638595 0.57926995 0.70544636]
 [0.09931439 0.5555452  0.896307  ]
 [0.10242696 0.63459325 0.9287116 ]
 [0.1041849  0.57890874 0.72476065]
 [0.20566453 0.69795895 0.8159776 ]
 [0.21412462 0.5208257  0.7135899 ]
 [0.3326475  0.80155087 0.8800305 ]
 [0.23454365 0.40751964 0.9292048 ]
 [0.44756114 0.71071935 0.8615561 ]
 [0.24230056 0.28814608 0.8953319 ]
 [0.47257218 0.62485284 0.8167323 ]
 [0.44996953 0.5528375  0.9096854 ]
 [0.7068367  0.5974779  0.9462776 ]
 [0.43332285 0.40955275 0.5946033 ]
 [0.92957675 0.6072216  0.9118183 ]
 [0.36274347 0.2219539  0.93993235]]"
"[[0.18604174 0.5161959  0.6295335 ]
 [0.17169605 0.5323727  0.7738433 ]
 [0.17040521 0.5194979  0.7966037 ]
 [0.18384035 0.5789716  0.7303332 ]
 [0.17960675 0.54845345 0.7135322 ]
 [0.26829177 0.6373037  0.8511214 ]
 [0.25002936 0.48664686 0.91627324]
 [0.17866269 0.727476   0.85059595]
 [0.18622519 0.37729383 0.94686455]
 [0.0949657  0.813464   0.87065136]
 [0.12027185 0.2686223  0.85934716]
 [0.515355   0.47731143 0.85278904]
 [0.46062303 0.42634952 0.83298385]
 [0.7450772  0.46946058 0.92132354]
 [0.31556982 0.28475314 0.9141263 ]
 [0.9279539  0.47281843 0.8886901 ]
 [0.17023757 0.16086361 0.87548465]]"
"[[0.10941356 0.4105559  0.8489552 ]
 [0.09078176 0.43099037 0.88891566]
 [0.09027008 0.4173664  0.711475  ]
 [0.1006     0.48882055 0.9289701 ]
 [0.09698231 0.4579867  0.7376709 ]
 [0.19620867 0.5702786  0.91343045]
 [0.20119224 0.38526082 0.9351659 ]
 [0.2041636  0.7267621  0.9016521 ]
 [0.18574774 0.23827133 0.951414  ]
 [0.20902865 0.8700811  0.9459257 ]
 [0.14535609 0.10655789 0.9219751 ]
 [0.4756966  0.53828394 0.75729895]
 [0.5073893  0.4420029  0.7810519 ]
 [0.40070707 0.710119   0.89388674]
 [0.7464462  0.47970885 0.9099578 ]
 [0.31766552 0.8959748  0.48361927]
 [0.9649818  0.53296834 0.85771483]]"
"[[0.10546606 0.37585017 0.6054932 ]
 [0.08708267 0.39256623 0.9272117 ]
 [0.08564812 0.35830647 0.86190724]
 [0.09415379 0.41724676 0.84805673]
 [0.09536096 0.33993557 0.88402545]
 [0.16216192 0.46214136 0.877949  ]
 [0.20049304 0.29705086 0.93652695]
 [0.1034325  0.564129   0.69877696]
 [0.26146302 0.2827315  0.2221027 ]
 [0.02085675 0.65697265 0.90865993]
 [0.06609525 0.26523605 0.4089455 ]
 [0.4166023  0.48620752 0.86968726]
 [0.46321103 0.41857222 0.65058506]
 [0.22337902 0.6382523  0.7772941 ]
 [0.7002052  0.46483308 0.9267537 ]
 [0.03235997 0.71602273 0.47845736]
 [0.9333435  0.46506697 0.913861  ]]"
"[[0.11347604 0.58594483 0.7265388 ]
 [0.09480164 0.59029406 0.50200844]
 [0.0962511  0.56172514 0.4715975 ]
 [0.10474346 0.5752148  0.18763345]
 [0.11363129 0.50651    0.6320231 ]
 [0.2296344  0.6234231  0.78816223]
 [0.23207028 0.44678617 0.88079065]
 [0.23217426 0.77524215 0.71931434]
 [0.30923203 0.30485564 0.61809295]
 [0.2168205  0.91993654 0.64936304]
 [0.375273   0.1751431  0.51531756]
 [0.50065625 0.5891629  0.85204077]
 [0.48011696 0.47766498 0.75811917]
 [0.7092571  0.5783331  0.8535812 ]
 [0.51303023 0.2612417  0.49623168]
 [0.8977462  0.5779372  0.68643904]
 [0.5014748  0.0594025  0.6154063 ]]"
"[[0.08556881 0.5428134  0.8957937 ]
 [0.06945383 0.5591795  0.9224474 ]
 [0.06921216 0.5192646  0.927208  ]
 [0.08813021 0.5797887  0.7252506 ]
 [0.09145272 0.49197146 0.9229502 ]
 [0.18094549 0.6289955  0.8766569 ]
 [0.16176514 0.43475005 0.9505952 ]
 [0.17583472 0.7695368  0.8625456 ]
 [0.12671587 0.29648706 0.94045573]
 [0.16953485 0.9024219  0.8490227 ]
 [0.07522611 0.16873048 0.9300001 ]
 [0.46796176 0.47667873 0.7998661 ]
 [0.40362287 0.40988958 0.8234253 ]
 [0.69604385 0.466023   0.9508861 ]
 [0.27539706 0.24733502 0.848492  ]
 [0.89981097 0.44721708 0.8846539 ]
 [0.1573974  0.06149605 0.8714654 ]]"
"[[0.10306647 0.43978047 0.6638185 ]
 [0.08138721 0.45874795 0.92740077]
 [0.08353191 0.4228233  0.9112445 ]
 [0.08566923 0.4947028  0.6931699 ]
 [0.09209906 0.41482463 0.85181814]
 [0.19347087 0.5515427  0.89587915]
 [0.18273473 0.3684714  0.93461996]
 [0.20556362 0.69504493 0.90100706]
 [0.17767023 0.22754067 0.8723917 ]
 [0.20519808 0.83489716 0.9003647 ]
 [0.18181057 0.10022217 0.8720649 ]
 [0.4149239  0.51546544 0.9220858 ]
 [0.4426181  0.42430052 0.89314175]
 [0.3710301  0.7301858  0.84072316]
 [0.68067056 0.4721053  0.9410435 ]
 [0.29466182 0.9262873  0.8653368 ]
 [0.89967144 0.5134508  0.8900084 ]]"
"[[0.25907928 0.64774424 0.8692564 ]
 [0.24363628 0.6632447  0.9301105 ]
 [0.24346238 0.62802804 0.8980051 ]
 [0.25135228 0.6837805  0.85373425]
 [0.2570965  0.60926473 0.7803889 ]
 [0.32098308 0.7079886  0.8709193 ]
 [0.30961075 0.5642794  0.90248   ]
 [0.20823875 0.73474693 0.91835755]
 [0.2734332  0.45112947 0.8897365 ]
 [0.10030238 0.7557425  0.78918463]
