Keypoints,Class
"[[0.16376115 0.38569617 0.89902383]
 [0.14241326 0.40912735 0.81543547]
 [0.14176956 0.39191866 0.75973636]
 [0.15643631 0.47642156 0.85019   ]
 [0.15183653 0.43748286 0.7245312 ]
 [0.25399572 0.5718423  0.8891114 ]
 [0.24871339 0.35515833 0.8662845 ]
 [0.27584168 0.74540806 0.8387222 ]
 [0.24708667 0.2074323  0.8735812 ]
 [0.2740168  0.886008   0.9325256 ]
 [0.2367804  0.06669345 0.59915614]
 [0.5776954  0.52194476 0.7742405 ]
 [0.57067704 0.4044301  0.9500893 ]
 [0.7230024  0.7019416  0.92058516]
 [0.6018359  0.17026602 0.9438944 ]
 [0.8511173  0.9179004  0.8639581 ]
 [0.85269624 0.15998371 0.9542935 ]]"
"[[0.14326613 0.5856412  0.82861876]
 [0.12605648 0.5635921  0.7770576 ]
 [0.1261626  0.5618933  0.7118683 ]
 [0.15246373 0.51055855 0.75250316]
 [0.16070756 0.49663082 0.8473807 ]
 [0.27466002 0.6044525  0.9433206 ]
 [0.274102   0.42630553 0.95391834]
 [0.25402358 0.7703427  0.8225504 ]
 [0.2825608  0.24824132 0.65394986]
 [0.24525645 0.92021364 0.65516156]
 [0.28593597 0.18041341 0.32183355]
 [0.5469233  0.5506014  0.91645414]
 [0.53569496 0.43571714 0.7781433 ]
 [0.6066339  0.7770694  0.9010669 ]
 [0.7087046  0.2738359  0.88199186]
 [0.8496135  0.7653326  0.910479  ]
 [0.856081   0.08896767 0.9465068 ]]"
"[[0.16832489 0.5970895  0.83728427]
 [0.14515933 0.57941514 0.9253595 ]
 [0.14542183 0.5839538  0.90385807]
 [0.15752786 0.5205793  0.6809127 ]
 [0.15916517 0.52624875 0.91693825]
 [0.25114894 0.41085452 0.8987808 ]
 [0.2518383  0.59929526 0.9020722 ]
 [0.26779994 0.2543253  0.6672802 ]
 [0.25934765 0.76572484 0.8832915 ]
 [0.2637021  0.09907816 0.74879646]
 [0.24725476 0.9010433  0.80191386]
 [0.55147374 0.41971585 0.767204  ]
 [0.55312157 0.5443925  0.9215982 ]
 [0.6915362  0.2647989  0.7423684 ]
 [0.58024293 0.77995086 0.80278623]
 [0.8294867  0.06242669 0.869822  ]
 [0.8253785  0.81654954 0.7270609 ]]"
"[[0.17395985 0.579086   0.810434  ]
 [0.15288596 0.5686472  0.9124344 ]
 [0.15229498 0.5613162  0.84830177]
 [0.15746067 0.51199466 0.70718867]
 [0.15744396 0.49758458 0.91682434]
 [0.2763503  0.59536964 0.95737123]
 [0.27200907 0.39974993 0.9284989 ]
 [0.27858183 0.75049216 0.9347053 ]
 [0.3007017  0.23670717 0.9620029 ]
 [0.28476295 0.8968856  0.9346434 ]
 [0.3244469  0.08705794 0.89220977]
 [0.5507402  0.571387   0.9336257 ]
 [0.56095755 0.44509208 0.9415553 ]
 [0.62991697 0.79050153 0.70978975]
 [0.71908134 0.28084114 0.7393134 ]
 [0.8556929  0.8072379  0.69432616]
